file,report_type,subcall,num_input_characters,extr_text_tokens,extr_prompt_instr_tokens,extr_total_needed,cot_text_tokens,cot_prompt_instr_tokens,cot_total_needed
1466419.txt,pathology,path_extraction,473,130.0,622.0,752.0,,,
1466419.txt,pathology,path_cot,473,,,,130.0,801.0,931.0
1466419.txt,consult,cons_extraction,1770,456.0,622.0,1078.0,,,
1466419.txt,consult,cons_cot,1770,,,,456.0,801.0,1257.0
637343.txt,pathology,path_extraction,576,148.0,622.0,770.0,,,
637343.txt,pathology,path_cot,576,,,,148.0,801.0,949.0
9131.txt,pathology,path_extraction,649,179.0,622.0,801.0,,,
9131.txt,pathology,path_cot,649,,,,179.0,801.0,980.0
9131.txt,consult,cons_extraction,3317,930.0,622.0,1552.0,,,
9131.txt,consult,cons_cot,3317,,,,930.0,801.0,1731.0
884999.txt,pathology,path_extraction,733,182.0,622.0,804.0,,,
884999.txt,pathology,path_cot,733,,,,182.0,801.0,983.0
884999.txt,consult,cons_extraction,1575,384.0,622.0,1006.0,,,
884999.txt,consult,cons_cot,1575,,,,384.0,801.0,1185.0
1115749.txt,pathology,path_extraction,790,263.0,622.0,885.0,,,
1115749.txt,pathology,path_cot,790,,,,263.0,801.0,1064.0
1115749.txt,consult,cons_extraction,3600,822.0,622.0,1444.0,,,
1115749.txt,consult,cons_cot,3600,,,,822.0,801.0,1623.0
704145.txt,pathology,path_extraction,782,252.0,622.0,874.0,,,
704145.txt,pathology,path_cot,782,,,,252.0,801.0,1053.0
704145.txt,consult,cons_extraction,3648,943.0,622.0,1565.0,,,
704145.txt,consult,cons_cot,3648,,,,943.0,801.0,1744.0
1462472.txt,consult,cons_extraction,1751,484.0,622.0,1106.0,,,
1462472.txt,consult,cons_cot,1751,,,,484.0,801.0,1285.0
436641.txt,pathology,path_extraction,1076,281.0,622.0,903.0,,,
436641.txt,pathology,path_cot,1076,,,,281.0,801.0,1082.0
436641.txt,consult,cons_extraction,4648,1093.0,622.0,1715.0,,,
436641.txt,consult,cons_cot,4648,,,,1093.0,801.0,1894.0
451834.txt,consult,cons_extraction,3840,960.0,622.0,1582.0,,,
451834.txt,consult,cons_cot,3840,,,,960.0,801.0,1761.0
1089362.txt,consult,cons_extraction,2550,578.0,622.0,1200.0,,,
1089362.txt,consult,cons_cot,2550,,,,578.0,801.0,1379.0
322896.txt,pathology,path_extraction,590,190.0,622.0,812.0,,,
322896.txt,pathology,path_cot,590,,,,190.0,801.0,991.0
322896.txt,consult,cons_extraction,2278,508.0,622.0,1130.0,,,
322896.txt,consult,cons_cot,2278,,,,508.0,801.0,1309.0
1247694.txt,consult,cons_extraction,4190,1020.0,622.0,1642.0,,,
1247694.txt,consult,cons_cot,4190,,,,1020.0,801.0,1821.0
1365459.txt,pathology,path_extraction,3135,873.0,622.0,1495.0,,,
1365459.txt,pathology,path_cot,3135,,,,873.0,801.0,1674.0
1365459.txt,consult,cons_extraction,2145,503.0,622.0,1125.0,,,
1365459.txt,consult,cons_cot,2145,,,,503.0,801.0,1304.0
1232897.txt,pathology,path_extraction,680,167.0,622.0,789.0,,,
1232897.txt,pathology,path_cot,680,,,,167.0,801.0,968.0
1232897.txt,consult,cons_extraction,983,342.0,622.0,964.0,,,
1232897.txt,consult,cons_cot,983,,,,342.0,801.0,1143.0
830115.txt,pathology,path_extraction,834,233.0,622.0,855.0,,,
830115.txt,pathology,path_cot,834,,,,233.0,801.0,1034.0
830115.txt,consult,cons_extraction,2024,491.0,622.0,1113.0,,,
830115.txt,consult,cons_cot,2024,,,,491.0,801.0,1292.0
1233017.txt,consult,cons_extraction,2968,667.0,622.0,1289.0,,,
1233017.txt,consult,cons_cot,2968,,,,667.0,801.0,1468.0
1262214.txt,pathology,path_extraction,705,165.0,622.0,787.0,,,
1262214.txt,pathology,path_cot,705,,,,165.0,801.0,966.0
1262214.txt,consult,cons_extraction,1411,341.0,622.0,963.0,,,
1262214.txt,consult,cons_cot,1411,,,,341.0,801.0,1142.0
123483.txt,pathology,path_extraction,470,148.0,622.0,770.0,,,
123483.txt,pathology,path_cot,470,,,,148.0,801.0,949.0
1016391.txt,consult,cons_extraction,1573,376.0,622.0,998.0,,,
1016391.txt,consult,cons_cot,1573,,,,376.0,801.0,1177.0
1308813.txt,consult,cons_extraction,2980,745.0,622.0,1367.0,,,
1308813.txt,consult,cons_cot,2980,,,,745.0,801.0,1546.0
150951.txt,consult,cons_extraction,1242,298.0,622.0,920.0,,,
150951.txt,consult,cons_cot,1242,,,,298.0,801.0,1099.0
284231.txt,consult,cons_extraction,3595,825.0,622.0,1447.0,,,
284231.txt,consult,cons_cot,3595,,,,825.0,801.0,1626.0
1348463.txt,pathology,path_extraction,1074,279.0,622.0,901.0,,,
1348463.txt,pathology,path_cot,1074,,,,279.0,801.0,1080.0
1348463.txt,consult,cons_extraction,2192,514.0,622.0,1136.0,,,
1348463.txt,consult,cons_cot,2192,,,,514.0,801.0,1315.0
787603.txt,pathology,path_extraction,708,212.0,622.0,834.0,,,
787603.txt,pathology,path_cot,708,,,,212.0,801.0,1013.0
787603.txt,consult,cons_extraction,2523,674.0,622.0,1296.0,,,
787603.txt,consult,cons_cot,2523,,,,674.0,801.0,1475.0
1263722.txt,pathology,path_extraction,662,154.0,622.0,776.0,,,
1263722.txt,pathology,path_cot,662,,,,154.0,801.0,955.0
1263722.txt,consult,cons_extraction,1956,469.0,622.0,1091.0,,,
1263722.txt,consult,cons_cot,1956,,,,469.0,801.0,1270.0
1456142.txt,pathology,path_extraction,575,139.0,622.0,761.0,,,
1456142.txt,pathology,path_cot,575,,,,139.0,801.0,940.0
1456142.txt,consult,cons_extraction,2117,536.0,622.0,1158.0,,,
1456142.txt,consult,cons_cot,2117,,,,536.0,801.0,1337.0
235316.txt,consult,cons_extraction,1928,459.0,622.0,1081.0,,,
235316.txt,consult,cons_cot,1928,,,,459.0,801.0,1260.0
651847.txt,consult,cons_extraction,3700,946.0,622.0,1568.0,,,
651847.txt,consult,cons_cot,3700,,,,946.0,801.0,1747.0
920788.txt,consult,cons_extraction,2769,669.0,622.0,1291.0,,,
920788.txt,consult,cons_cot,2769,,,,669.0,801.0,1470.0
1068761.txt,consult,cons_extraction,2478,609.0,622.0,1231.0,,,
1068761.txt,consult,cons_cot,2478,,,,609.0,801.0,1410.0
801535.txt,pathology,path_extraction,565,156.0,622.0,778.0,,,
801535.txt,pathology,path_cot,565,,,,156.0,801.0,957.0
1259610.txt,consult,cons_extraction,2726,653.0,622.0,1275.0,,,
1259610.txt,consult,cons_cot,2726,,,,653.0,801.0,1454.0
1437599.txt,pathology,path_extraction,556,156.0,622.0,778.0,,,
1437599.txt,pathology,path_cot,556,,,,156.0,801.0,957.0
1110794.txt,pathology,path_extraction,2241,645.0,622.0,1267.0,,,
1110794.txt,pathology,path_cot,2241,,,,645.0,801.0,1446.0
1110794.txt,consult,cons_extraction,1970,495.0,622.0,1117.0,,,
1110794.txt,consult,cons_cot,1970,,,,495.0,801.0,1296.0
245815.txt,pathology,path_extraction,5171,1370.0,622.0,1992.0,,,
245815.txt,pathology,path_cot,5171,,,,1370.0,801.0,2171.0
1421695.txt,consult,cons_extraction,1822,471.0,622.0,1093.0,,,
1421695.txt,consult,cons_cot,1822,,,,471.0,801.0,1272.0
206783.txt,pathology,path_extraction,594,183.0,622.0,805.0,,,
206783.txt,pathology,path_cot,594,,,,183.0,801.0,984.0
803211.txt,pathology,path_extraction,5183,1472.0,622.0,2094.0,,,
803211.txt,pathology,path_cot,5183,,,,1472.0,801.0,2273.0
803211.txt,consult,cons_extraction,2892,710.0,622.0,1332.0,,,
803211.txt,consult,cons_cot,2892,,,,710.0,801.0,1511.0
1237434.txt,pathology,path_extraction,736,168.0,622.0,790.0,,,
1237434.txt,pathology,path_cot,736,,,,168.0,801.0,969.0
1237434.txt,consult,cons_extraction,2286,526.0,622.0,1148.0,,,
1237434.txt,consult,cons_cot,2286,,,,526.0,801.0,1327.0
437522.txt,pathology,path_extraction,657,158.0,622.0,780.0,,,
437522.txt,pathology,path_cot,657,,,,158.0,801.0,959.0
437522.txt,consult,cons_extraction,1732,432.0,622.0,1054.0,,,
437522.txt,consult,cons_cot,1732,,,,432.0,801.0,1233.0
990489.txt,pathology,path_extraction,622,163.0,622.0,785.0,,,
990489.txt,pathology,path_cot,622,,,,163.0,801.0,964.0
990489.txt,consult,cons_extraction,1309,337.0,622.0,959.0,,,
990489.txt,consult,cons_cot,1309,,,,337.0,801.0,1138.0
688973.txt,consult,cons_extraction,1506,410.0,622.0,1032.0,,,
688973.txt,consult,cons_cot,1506,,,,410.0,801.0,1211.0
739007.txt,consult,cons_extraction,2952,728.0,622.0,1350.0,,,
739007.txt,consult,cons_cot,2952,,,,728.0,801.0,1529.0
999036.txt,pathology,path_extraction,434,120.0,622.0,742.0,,,
999036.txt,pathology,path_cot,434,,,,120.0,801.0,921.0
306972.txt,pathology,path_extraction,725,221.0,622.0,843.0,,,
306972.txt,pathology,path_cot,725,,,,221.0,801.0,1022.0
755397.txt,consult,cons_extraction,1742,383.0,622.0,1005.0,,,
755397.txt,consult,cons_cot,1742,,,,383.0,801.0,1184.0
865277.txt,consult,cons_extraction,1674,418.0,622.0,1040.0,,,
865277.txt,consult,cons_cot,1674,,,,418.0,801.0,1219.0
1629338.txt,consult,cons_extraction,1722,449.0,622.0,1071.0,,,
1629338.txt,consult,cons_cot,1722,,,,449.0,801.0,1250.0
824381.txt,pathology,path_extraction,524,136.0,622.0,758.0,,,
824381.txt,pathology,path_cot,524,,,,136.0,801.0,937.0
824381.txt,consult,cons_extraction,2759,689.0,622.0,1311.0,,,
824381.txt,consult,cons_cot,2759,,,,689.0,801.0,1490.0
840620.txt,pathology,path_extraction,2359,642.0,622.0,1264.0,,,
840620.txt,pathology,path_cot,2359,,,,642.0,801.0,1443.0
235538.txt,consult,cons_extraction,3612,806.0,622.0,1428.0,,,
235538.txt,consult,cons_cot,3612,,,,806.0,801.0,1607.0
779143.txt,consult,cons_extraction,3329,784.0,622.0,1406.0,,,
779143.txt,consult,cons_cot,3329,,,,784.0,801.0,1585.0
1157207.txt,consult,cons_extraction,3286,808.0,622.0,1430.0,,,
1157207.txt,consult,cons_cot,3286,,,,808.0,801.0,1609.0
1042445.txt,pathology,path_extraction,973,240.0,622.0,862.0,,,
1042445.txt,pathology,path_cot,973,,,,240.0,801.0,1041.0
1042445.txt,consult,cons_extraction,1640,389.0,622.0,1011.0,,,
1042445.txt,consult,cons_cot,1640,,,,389.0,801.0,1190.0
1513259.txt,pathology,path_extraction,523,131.0,622.0,753.0,,,
1513259.txt,pathology,path_cot,523,,,,131.0,801.0,932.0
1513259.txt,consult,cons_extraction,1533,417.0,622.0,1039.0,,,
1513259.txt,consult,cons_cot,1533,,,,417.0,801.0,1218.0
1156440.txt,pathology,path_extraction,582,192.0,622.0,814.0,,,
1156440.txt,pathology,path_cot,582,,,,192.0,801.0,993.0
1156440.txt,consult,cons_extraction,3503,867.0,622.0,1489.0,,,
1156440.txt,consult,cons_cot,3503,,,,867.0,801.0,1668.0
1413925.txt,pathology,path_extraction,6651,1720.0,622.0,2342.0,,,
1413925.txt,pathology,path_cot,6651,,,,1720.0,801.0,2521.0
1260134.txt,pathology,path_extraction,599,153.0,622.0,775.0,,,
1260134.txt,pathology,path_cot,599,,,,153.0,801.0,954.0
1260134.txt,consult,cons_extraction,2769,681.0,622.0,1303.0,,,
1260134.txt,consult,cons_cot,2769,,,,681.0,801.0,1482.0
1287020.txt,consult,cons_extraction,1608,387.0,622.0,1009.0,,,
1287020.txt,consult,cons_cot,1608,,,,387.0,801.0,1188.0
1173780.txt,pathology,path_extraction,622,158.0,622.0,780.0,,,
1173780.txt,pathology,path_cot,622,,,,158.0,801.0,959.0
1173780.txt,consult,cons_extraction,1672,420.0,622.0,1042.0,,,
1173780.txt,consult,cons_cot,1672,,,,420.0,801.0,1221.0
1442530.txt,consult,cons_extraction,1336,325.0,622.0,947.0,,,
1442530.txt,consult,cons_cot,1336,,,,325.0,801.0,1126.0
745421.txt,pathology,path_extraction,380,102.0,622.0,724.0,,,
745421.txt,pathology,path_cot,380,,,,102.0,801.0,903.0
745421.txt,consult,cons_extraction,2265,555.0,622.0,1177.0,,,
745421.txt,consult,cons_cot,2265,,,,555.0,801.0,1356.0
94714.txt,consult,cons_extraction,785,194.0,622.0,816.0,,,
94714.txt,consult,cons_cot,785,,,,194.0,801.0,995.0
1290109.txt,consult,cons_extraction,2820,716.0,622.0,1338.0,,,
1290109.txt,consult,cons_cot,2820,,,,716.0,801.0,1517.0
1147322.txt,pathology,path_extraction,4494,1418.0,622.0,2040.0,,,
1147322.txt,pathology,path_cot,4494,,,,1418.0,801.0,2219.0
1147322.txt,consult,cons_extraction,3055,725.0,622.0,1347.0,,,
1147322.txt,consult,cons_cot,3055,,,,725.0,801.0,1526.0
279242.txt,pathology,path_extraction,666,155.0,622.0,777.0,,,
279242.txt,pathology,path_cot,666,,,,155.0,801.0,956.0
279242.txt,consult,cons_extraction,1720,422.0,622.0,1044.0,,,
279242.txt,consult,cons_cot,1720,,,,422.0,801.0,1223.0
1610461.txt,consult,cons_extraction,1205,296.0,622.0,918.0,,,
1610461.txt,consult,cons_cot,1205,,,,296.0,801.0,1097.0
991577.txt,consult,cons_extraction,1522,380.0,622.0,1002.0,,,
991577.txt,consult,cons_cot,1522,,,,380.0,801.0,1181.0
136458.txt,pathology,path_extraction,4896,1514.0,622.0,2136.0,,,
136458.txt,pathology,path_cot,4896,,,,1514.0,801.0,2315.0
136458.txt,consult,cons_extraction,2393,534.0,622.0,1156.0,,,
136458.txt,consult,cons_cot,2393,,,,534.0,801.0,1335.0
1434930.txt,consult,cons_extraction,1241,313.0,622.0,935.0,,,
1434930.txt,consult,cons_cot,1241,,,,313.0,801.0,1114.0
1128418.txt,pathology,path_extraction,694,200.0,622.0,822.0,,,
1128418.txt,pathology,path_cot,694,,,,200.0,801.0,1001.0
1128418.txt,consult,cons_extraction,2660,616.0,622.0,1238.0,,,
1128418.txt,consult,cons_cot,2660,,,,616.0,801.0,1417.0
460075.txt,consult,cons_extraction,1191,296.0,622.0,918.0,,,
460075.txt,consult,cons_cot,1191,,,,296.0,801.0,1097.0
1082999.txt,pathology,path_extraction,5520,1514.0,622.0,2136.0,,,
1082999.txt,pathology,path_cot,5520,,,,1514.0,801.0,2315.0
1082999.txt,consult,cons_extraction,1737,433.0,622.0,1055.0,,,
1082999.txt,consult,cons_cot,1737,,,,433.0,801.0,1234.0
100729.txt,consult,cons_extraction,2940,717.0,622.0,1339.0,,,
100729.txt,consult,cons_cot,2940,,,,717.0,801.0,1518.0
1266668.txt,consult,cons_extraction,1901,430.0,622.0,1052.0,,,
1266668.txt,consult,cons_cot,1901,,,,430.0,801.0,1231.0
294180.txt,pathology,path_extraction,909,306.0,622.0,928.0,,,
294180.txt,pathology,path_cot,909,,,,306.0,801.0,1107.0
294180.txt,consult,cons_extraction,3083,660.0,622.0,1282.0,,,
294180.txt,consult,cons_cot,3083,,,,660.0,801.0,1461.0
1517636.txt,pathology,path_extraction,531,136.0,622.0,758.0,,,
1517636.txt,pathology,path_cot,531,,,,136.0,801.0,937.0
1524429.txt,pathology,path_extraction,764,221.0,622.0,843.0,,,
1524429.txt,pathology,path_cot,764,,,,221.0,801.0,1022.0
1524429.txt,consult,cons_extraction,2496,641.0,622.0,1263.0,,,
1524429.txt,consult,cons_cot,2496,,,,641.0,801.0,1442.0
975174.txt,pathology,path_extraction,606,177.0,622.0,799.0,,,
975174.txt,pathology,path_cot,606,,,,177.0,801.0,978.0
804225.txt,pathology,path_extraction,504,130.0,622.0,752.0,,,
804225.txt,pathology,path_cot,504,,,,130.0,801.0,931.0
804225.txt,consult,cons_extraction,3703,894.0,622.0,1516.0,,,
804225.txt,consult,cons_cot,3703,,,,894.0,801.0,1695.0
1161635.txt,pathology,path_extraction,659,191.0,622.0,813.0,,,
1161635.txt,pathology,path_cot,659,,,,191.0,801.0,992.0
1161635.txt,consult,cons_extraction,2824,695.0,622.0,1317.0,,,
1161635.txt,consult,cons_cot,2824,,,,695.0,801.0,1496.0
1366321.txt,pathology,path_extraction,1452,415.0,622.0,1037.0,,,
1366321.txt,pathology,path_cot,1452,,,,415.0,801.0,1216.0
1366321.txt,consult,cons_extraction,1739,407.0,622.0,1029.0,,,
1366321.txt,consult,cons_cot,1739,,,,407.0,801.0,1208.0
1031743.txt,pathology,path_extraction,4616,1457.0,622.0,2079.0,,,
1031743.txt,pathology,path_cot,4616,,,,1457.0,801.0,2258.0
808965.txt,pathology,path_extraction,825,246.0,622.0,868.0,,,
808965.txt,pathology,path_cot,825,,,,246.0,801.0,1047.0
808965.txt,consult,cons_extraction,1489,367.0,622.0,989.0,,,
808965.txt,consult,cons_cot,1489,,,,367.0,801.0,1168.0
811013.txt,consult,cons_extraction,2603,637.0,622.0,1259.0,,,
811013.txt,consult,cons_cot,2603,,,,637.0,801.0,1438.0
1108098.txt,consult,cons_extraction,3016,706.0,622.0,1328.0,,,
1108098.txt,consult,cons_cot,3016,,,,706.0,801.0,1507.0
493821.txt,consult,cons_extraction,1657,422.0,622.0,1044.0,,,
493821.txt,consult,cons_cot,1657,,,,422.0,801.0,1223.0
810748.txt,pathology,path_extraction,771,284.0,622.0,906.0,,,
810748.txt,pathology,path_cot,771,,,,284.0,801.0,1085.0
810748.txt,consult,cons_extraction,4915,1148.0,622.0,1770.0,,,
810748.txt,consult,cons_cot,4915,,,,1148.0,801.0,1949.0
1489909.txt,pathology,path_extraction,441,124.0,622.0,746.0,,,
1489909.txt,pathology,path_cot,441,,,,124.0,801.0,925.0
1489909.txt,consult,cons_extraction,2959,741.0,622.0,1363.0,,,
1489909.txt,consult,cons_cot,2959,,,,741.0,801.0,1542.0
1222698.txt,consult,cons_extraction,3474,838.0,622.0,1460.0,,,
1222698.txt,consult,cons_cot,3474,,,,838.0,801.0,1639.0
1569326.txt,consult,cons_extraction,2351,574.0,622.0,1196.0,,,
1569326.txt,consult,cons_cot,2351,,,,574.0,801.0,1375.0
1626507.txt,consult,cons_extraction,1916,440.0,622.0,1062.0,,,
1626507.txt,consult,cons_cot,1916,,,,440.0,801.0,1241.0
552901.txt,pathology,path_extraction,605,154.0,622.0,776.0,,,
552901.txt,pathology,path_cot,605,,,,154.0,801.0,955.0
552901.txt,consult,cons_extraction,1464,359.0,622.0,981.0,,,
552901.txt,consult,cons_cot,1464,,,,359.0,801.0,1160.0
1501323.txt,consult,cons_extraction,1591,400.0,622.0,1022.0,,,
1501323.txt,consult,cons_cot,1591,,,,400.0,801.0,1201.0
1117087.txt,consult,cons_extraction,1881,497.0,622.0,1119.0,,,
1117087.txt,consult,cons_cot,1881,,,,497.0,801.0,1298.0
822853.txt,pathology,path_extraction,1040,265.0,622.0,887.0,,,
822853.txt,pathology,path_cot,1040,,,,265.0,801.0,1066.0
822853.txt,consult,cons_extraction,2325,540.0,622.0,1162.0,,,
822853.txt,consult,cons_cot,2325,,,,540.0,801.0,1341.0
1310803.txt,consult,cons_extraction,1409,349.0,622.0,971.0,,,
1310803.txt,consult,cons_cot,1409,,,,349.0,801.0,1150.0
1244332.txt,pathology,path_extraction,628,156.0,622.0,778.0,,,
1244332.txt,pathology,path_cot,628,,,,156.0,801.0,957.0
1244332.txt,consult,cons_extraction,2594,633.0,622.0,1255.0,,,
1244332.txt,consult,cons_cot,2594,,,,633.0,801.0,1434.0
1444811.txt,pathology,path_extraction,536,137.0,622.0,759.0,,,
1444811.txt,pathology,path_cot,536,,,,137.0,801.0,938.0
1444811.txt,consult,cons_extraction,2045,505.0,622.0,1127.0,,,
1444811.txt,consult,cons_cot,2045,,,,505.0,801.0,1306.0
1177082.txt,pathology,path_extraction,472,162.0,622.0,784.0,,,
1177082.txt,pathology,path_cot,472,,,,162.0,801.0,963.0
1177082.txt,consult,cons_extraction,1535,356.0,622.0,978.0,,,
1177082.txt,consult,cons_cot,1535,,,,356.0,801.0,1157.0
120069.txt,consult,cons_extraction,3747,847.0,622.0,1469.0,,,
120069.txt,consult,cons_cot,3747,,,,847.0,801.0,1648.0
490657.txt,pathology,path_extraction,1427,376.0,622.0,998.0,,,
490657.txt,pathology,path_cot,1427,,,,376.0,801.0,1177.0
490657.txt,consult,cons_extraction,2303,541.0,622.0,1163.0,,,
490657.txt,consult,cons_cot,2303,,,,541.0,801.0,1342.0
300560.txt,pathology,path_extraction,697,172.0,622.0,794.0,,,
300560.txt,pathology,path_cot,697,,,,172.0,801.0,973.0
656981.txt,pathology,path_extraction,3251,995.0,622.0,1617.0,,,
656981.txt,pathology,path_cot,3251,,,,995.0,801.0,1796.0
1424073.txt,pathology,path_extraction,480,126.0,622.0,748.0,,,
1424073.txt,pathology,path_cot,480,,,,126.0,801.0,927.0
1424073.txt,consult,cons_extraction,2116,501.0,622.0,1123.0,,,
1424073.txt,consult,cons_cot,2116,,,,501.0,801.0,1302.0
1431251.txt,pathology,path_extraction,551,144.0,622.0,766.0,,,
1431251.txt,pathology,path_cot,551,,,,144.0,801.0,945.0
1199165.txt,consult,cons_extraction,1122,250.0,622.0,872.0,,,
1199165.txt,consult,cons_cot,1122,,,,250.0,801.0,1051.0
1266956.txt,consult,cons_extraction,2773,645.0,622.0,1267.0,,,
1266956.txt,consult,cons_cot,2773,,,,645.0,801.0,1446.0
832253.txt,consult,cons_extraction,896,230.0,622.0,852.0,,,
832253.txt,consult,cons_cot,896,,,,230.0,801.0,1031.0
141143.txt,pathology,path_extraction,532,138.0,622.0,760.0,,,
141143.txt,pathology,path_cot,532,,,,138.0,801.0,939.0
141143.txt,consult,cons_extraction,406,105.0,622.0,727.0,,,
141143.txt,consult,cons_cot,406,,,,105.0,801.0,906.0
111738.txt,consult,cons_extraction,2136,489.0,622.0,1111.0,,,
111738.txt,consult,cons_cot,2136,,,,489.0,801.0,1290.0
536666.txt,pathology,path_extraction,587,150.0,622.0,772.0,,,
536666.txt,pathology,path_cot,587,,,,150.0,801.0,951.0
536666.txt,consult,cons_extraction,2251,549.0,622.0,1171.0,,,
536666.txt,consult,cons_cot,2251,,,,549.0,801.0,1350.0
1402243.txt,pathology,path_extraction,727,182.0,622.0,804.0,,,
1402243.txt,pathology,path_cot,727,,,,182.0,801.0,983.0
1402243.txt,consult,cons_extraction,2422,582.0,622.0,1204.0,,,
1402243.txt,consult,cons_cot,2422,,,,582.0,801.0,1383.0
1565302.txt,pathology,path_extraction,1136,295.0,622.0,917.0,,,
1565302.txt,pathology,path_cot,1136,,,,295.0,801.0,1096.0
1565302.txt,consult,cons_extraction,2712,715.0,622.0,1337.0,,,
1565302.txt,consult,cons_cot,2712,,,,715.0,801.0,1516.0
157156.txt,pathology,path_extraction,5155,1435.0,622.0,2057.0,,,
157156.txt,pathology,path_cot,5155,,,,1435.0,801.0,2236.0
296213.txt,consult,cons_extraction,804,207.0,622.0,829.0,,,
296213.txt,consult,cons_cot,804,,,,207.0,801.0,1008.0
1164759.txt,pathology,path_extraction,624,206.0,622.0,828.0,,,
1164759.txt,pathology,path_cot,624,,,,206.0,801.0,1007.0
